"ID","sender","improvement_critic"
1,"InformedConsent","der informed consent ist nicht umfassend genug - die Vpn sollte ihren informed consent zur Speicherung der Daten (anonymisierte Form), zur Nutzung der Daten für Publikationen und zur Weitergabe der Daten für Forschungszwecke (open science) geben.

Hier ist z.B. mal eine Beschreibung, was alles enthalten sein sollte:
https://psy.rptu.de/index.php?eID=dumpFile&t=f&f=4074&token=151780d64a521069249198bce26268b2be535c39

Und hier eine Unterstützung, die unsere Ethikkommission angibt:
(Eine elektronische Erstellungshilfe für Informationsschreiben und Einwilligungserklärung finden Sie unter https://www.akek.de/etic-2/)

Ich dachte, wir haben hier immer Standardformulierungen für Studien - kannst Du da bitte mal alle fragen, was sie nehmen - da sollten wir einen einheitlichen Standard (mit notwendigen Abwandlungen je Studie) für alle haben."
1,"ExclusionCriteria","Ja, ich werde
	
Nein, ich werde nicht


Das hört sich komisch an - lieber Ja, das werde ich oder Nein, das werde ich nicht    
und führt Nein oder kann ich nicht versprechen zum Abbruch der Studie? Falls ja, dann hier anmerken?"
1,"ExplenationRatingTask","Vielen Dank für Ihre bisherige Teilnahme an der Onlinestudie!

Ich finde das ein bisschen viel ""Vielen Dank....""  - Könntest Du streichen"
1,"Vig_3","Ihre Insekten ähnliche Struktur 

lieber die Technologie ist in Analogie zu Insekten entwickelt   und ermöglicht....


lebensähnliche Anpassungen an Temperatur oder Feuchtigkeit
Die Formulierung ist nicht gut verständlich - lieber - Anpassung an Temperatur und Feuchtigkeit ähnlich wie bei Lebewesen?"
1,"Vig_1","Ihre Insekten ähnliche Oberflächenstruktur 
Ihre Oberflächenstruktur ähnelt Insekten und ermöglicht...."
1,"Vig_4","Die Nano-Pat-Parka 

Der ....

Als intelligente, multifunktionale und technologisch fortschrittliche Lösung kombiniert sie 

entweder ""er"" (für Parka) oder ""das Jackensystem""

Durch energieeffiziente, energieautonome Mechanismen ermöglicht sie  .....er

Gleichzeitig bleibt sie ...er
"
1,"Vig_2","Die Nano-Pat-Parka  .... Der

Sie kombiniert  ... Er oder besser Das Jackensystem

Trotz ihrer Hightech-Eigenschaften enthält sie  ..... seiner .... er"
1,"Vig_6","Die Nano-Pat-Parka... Der"
1,"Vig_5","Die Nano-Pat-Parka ... Der


....durch passive Formänderung durch Umwelteinwirkung und aktive Verhaltensänderung durch Umwelteinwirkung auf Umgebungsbedingungen 

zweimal durch Umwelteinwirkung....
...das auf Umweltveränderungen mit passiver und aktiver Verhaltensveränderungen reagiert?

autonome Lösung vereint sie... er oder die Technologie

definiert sie  ... er oder diese Technologie
"
1,"statisticalProceduresStudy","Bei der Seite davor:
Ich habe es noch nie wirklich gemocht, eine Enzyklopädie durchzublättern. 

Müsste man hier evtl. in Klammern (auch online) hinzufügen?

Und die Personen-Skala ist 5stufig, die Technik-Skala 6 stufig. Das ist mE hier ok, wenn die Skalen so sind, aber oft werden auch gleichstufige Antworten verwendet (macht es leichter für die Vpn)


Achtung - diese Seite ist komplett auf Englisch - ich nehme mal an, dass ist nur für uns für die Prä-Registrierung/Planung. Für die VPn ist das ja nicht relevant

"
2,"Greetings","""neuartigen Jackensystems"" ohne s hinten"
2,"ExclusionCriteria","""Ja, ich werde"" -> eher ""Ja, werde ich"" ? selbes für Nein"
2,"ExplenationRatingTask","""wie neue Technologien anhand sogenannter basaler Attribute – grundlegender, semantisch und emotional bewerteter Merkmale ""
Ich würde nicht die zentrale Hypothese offenlegen. In meinen Augen fördert das die Reaktanz auf Kosten spontanen Antwortverhaltens. Das steht im Gegensatz zum letzten Absatz (""Antworten Sie bitte möglichst intuitiv""). Ich würde die Vpn nicht dazu bringen, über Ziel, Hypothesen, Manipulationen unserer Studie nachzudenken. Lieber so etwas allgemeines wie ""Wir wollen die Akzeptanz neuartiger Technologien anhand des Nano-Pat-Parkas, eines innovativen Schutzjackensystems, erforschen""."
2,"Vig_3","durch die vielen Attribute ist das Szenario sehr tech-lastig. ich kann mir z.B. unter ""autonom gesteuerte Verhaltensänderungen ergänzen passive Schutzmechanismen"" bei einer Jacke nicht viel vorstellen. Eventuell die Szenarien doch etwas länger machen, um das anschaulicher zu beschreiben?"
2,"Vig_2","Jetzt nach dem Durchklicken stehe ich dem Within-Design mit der selben Technologie doch etwas kritisch gegenüber. Ich merke einerseits, dass die Konzentration nachlässt. Da die Attribute etwas abstrakt sind und ich mir unter der Jacke wenig Konkretes vorstellen kann, fällt es mir schwer, die Szenarien unterschiedlich zu behandeln. Der Eindruck der bei mir beim Lesen hängen bleibt, ist unabhängig von den Attributen ca. ""eine fancy Hightech-Jacke"". Abgesehen von den umweltschädlichen Aspekten, was aber wenig überraschend ist.
Gleichzeitig kann ich mir vorstellen, dass die Vpn dann spätestens beim dritten, vierten Szenario anfangen, die Studie zu hinterfragen (Hypothesen etc. - ""Worauf wollt ihr eigentlich raus?"").

Eventuell könnte man das nochmal durch andere Instruktionen abfedern. Sowas wie ""Die R&D-Abteilung ... hat unterschiedliche Versionen eines Jackensystems entwickelt. In diesem frühen Entwicklungsstadium geht es darum, erstes Feedback zu den Versionen einzuholen"". Dadurch wären die Vpn vielleicht weniger irritiert, sechs mal das selbe Szenario zu bearbeiten. Und evtl. auch weniger Reaktanz."
2,"statisticalProceduresStudy","ich finde v.a. die dummycodierten predictions interessant, da das nochmal direkt den Einfluss der basalattribute herausarbeitet. aber bin eben skeptisch, ob die Szenarien genügend Varianz erzeugen (abgesehen von offensichtlichen wie umweltschädlich)"
3,"Greetings","Viertletzte Zeile ""s"" zu streichen (""Jackenssystems"")"
3,"ExclusionCriteria","Satt ""Nein, ich werde nicht"" besser ""Nein, werde ich nicht"" oder ""Nein, ich werde keine sorgfältigen Antworten geben"""
3,"Vig_5","- Satt ""Die Nano-Pat-Parka"" wie zuvor ""Der Nano-Pat-Parka"", entsprechend dann """"sie"" zu ""er""
- ""das durch passive Formänderung durch Umwelteinwirkung und aktive Verhaltensänderung durch Umwelteinwirkung auf Umgebungsbedingungen reagiert"" meines Erachtens schwer verständlich: Wer oder was ist hier aktiv/passiv, das Materialsystem oder der/die Nutzer:in?"
3,"Vig_1","- ""Insekten-ähnliche"" mit Bindestrich"
3,"Vig_3","- ""Insekten-ähnliche""
- m.E. unklarer Ausdruck ""lebensähnliche Anpassungen an Temperatur oder Feuchtigkeit"", was ist hier genau lebensähnlich?
- was sind ""passive Schutzmechanismen""? Was ist genau passiv hieran (s. meine Anm. oben bereits)?"
